Game,Console,Developer,Publisher,Release_Date,Sales
Dragon Quest,NES,Chunsoft,JP: EnixNA: Nintendo,"May 27, 1986",2000000
Top Gun,NES,Konami,Konami,November 1987,2000000
Soccer,NES,Intelligent Systems,Nintendo,"April 9, 1985",1960000
Rad Racer,NES,Square,JP: SquareNA: NintendoEU: Mattel,"August 7, 1987",1960000
Pinball,NES,Nintendo R&D1,Nintendo,"February 2, 1984",1850000
Kid Icarus,NES,Nintendo R&D1Tose,Nintendo,"December 19, 1986",1760000
Yoshi,NES,Game Freak,Nintendo,"December 14, 1991",1750000
Kirby's Adventure,NES,HAL Laboratory,Nintendo,"March 23, 1993",1750000
DuckTales,NES,Capcom,Capcom,"September 14, 1989",1670000
Ghosts 'n Goblins,NES,CapcomMicronics,Capcom,"June 13, 1986",1640000
Bases Loaded,NES,Tose,Jaleco,"June 26, 1987",1580000
Donkey Kong Classics,NES,Nintendo R&D1,Nintendo,October 1988,1560000
F-1 Race,NES,HAL Laboratory,Nintendo,"November 2, 1984",1520000
Mega Man 2,NES,Capcom,Capcom,"December 24, 1988",1510000
Lode Runner,NES,Hudson Soft,BrøderbundHudson Soft,"July 31, 1984",1500000
Xevious,NES,Namco,JP: NamcoNA: Bandai,"November 8, 1984",1500000
Ice Climber,NES,Nintendo R&D1,Nintendo,"January 30, 1985",1500000
Ninja Hattori-kun,NES,Hudson Soft,Hudson Soft,"March 5, 1986",1500000
Mighty Bomb Jack,NES,Tecmo,Tecmo,"April 24, 1986",1500000
Nintendo World Cup,NES,Technōs Japan,JP: Technōs JapanNA/EU: Nintendo,"May 18, 1990",1480000
4 Nin Uchi Mahjong,NES,Hudson Soft,Nintendo,"November 2, 1984",1450000
Final Fantasy III,NES,Square,Square,"April 27, 1990",1400000
Gyromite †,NES,Nintendo R&D1,Nintendo,"August 13, 1985",1320000
Final Fantasy,NES,Square,Square,"December 18, 1987",1300000
Pro Yakyū Family Stadium '87,NES,Namco,Namco,"December 22, 1987",1300000
Hogan's Alley,NES,Nintendo R&D1,Nintendo,"June 12, 1984",1270000
